plz	ort	landkreis	bundesland
78267	Aach	Landkreis Konstanz	Baden-Württemberg
54298	Aach	Landkreis Trier-Saarburg	Rheinland-Pfalz
52062	Aachen	Städteregion Aachen	Nordrhein-Westfalen
52064	Aachen	Städteregion Aachen	Nordrhein-Westfalen
52066	Aachen	Städteregion Aachen	Nordrhein-Westfalen
52068	Aachen	Städteregion Aachen	Nordrhein-Westfalen
52070	Aachen	Städteregion Aachen	Nordrhein-Westfalen
52072	Aachen	Städteregion Aachen	Nordrhein-Westfalen
52074	Aachen	Städteregion Aachen	Nordrhein-Westfalen
52076	Aachen	Städteregion Aachen	Nordrhein-Westfalen
52078	Aachen	Städteregion Aachen	Nordrhein-Westfalen
52080	Aachen	Städteregion Aachen	Nordrhein-Westfalen
73430	Aalen	Ostalbkreis	Baden-Württemberg
73431	Aalen	Ostalbkreis	Baden-Württemberg
73432	Aalen	Ostalbkreis	Baden-Württemberg
73433	Aalen	Ostalbkreis	Baden-Württemberg
73434	Aalen	Ostalbkreis	Baden-Württemberg
65326	Aarbergen	Rheingau-Taunus-Kreis	Hessen
25560	Aasbüttel	Kreis Steinburg	Schleswig-Holstein
91183	Abenberg	Landkreis Roth	Bayern
93326	Abensberg	Landkreis Kelheim	Bayern
55767	Abentheuer	Landkreis Birkenfeld	Rheinland-Pfalz
91720	Absberg	Landkreis Weißenburg-Gunzenhausen	Bayern
74232	Abstatt	Landkreis Heilbronn	Baden-Württemberg
99713	Abtsbessingen	Kyffhäuserkreis	Thüringen
73453	Abtsgmünd	Ostalbkreis	Baden-Württemberg
69518	Abtsteinach	Kreis Bergstraße	Hessen
97355	Abtswind	Landkreis Kitzingen	Bayern
55568	Abtweiler	Landkreis Bad Kreuznach	Rheinland-Pfalz
88147	Achberg	Landkreis Ravensburg	Baden-Württemberg
77855	Achern	Ortenaukreis	Baden-Württemberg
28832	Achim	Landkreis Verden	Niedersachsen
94250	Achslach	Landkreis Regen	Bayern
88480	Achstetten	Landkreis Biberach	Baden-Württemberg
56729	Acht	Landkreis Mayen-Koblenz	Rheinland-Pfalz
55767	Achtelsbach	Landkreis Birkenfeld	Rheinland-Pfalz
24239	Achterwehr	Kreis Rendsburg-Eckernförde	Schleswig-Holstein
25917	Achtrup	Kreis Nordfriesland	Schleswig-Holstein
73099	Adelberg	Landkreis Göppingen	Baden-Württemberg
37139	Adelebsen	Landkreis Göttingen	Niedersachsen
29352	Adelheidsdorf	Landkreis Celle	Niedersachsen
73486	Adelmannsfelden	Ostalbkreis	Baden-Württemberg
85111	Adelschlag	Landkreis Eichstätt	Bayern
91325	Adelsdorf	Landkreis Erlangen-Höchstadt	Bayern
74740	Adelsheim	Neckar-Odenwald-Kreis	Baden-Württemberg
91587	Adelshofen	Landkreis Ansbach	Bayern
82276	Adelshofen	Landkreis Fürstenfeldbruck	Bayern
86477	Adelsried	Landkreis Augsburg	Bayern
86559	Adelzhausen	Landkreis Aichach-Friedberg	Bayern
53518	Adenau	Landkreis Ahrweiler	Rheinland-Pfalz
67742	Adenbach	Landkreis Kusel	Rheinland-Pfalz
38528	Adenbüttel	Landkreis Gifhorn	Niedersachsen
21365	Adendorf	Landkreis Lüneburg	Niedersachsen
84166	Adlkofen	Landkreis Landshut	Bayern
18211	Admannshagen-Bargeshagen	Landkreis Rostock	Mecklenburg-Vorpommern
08626	Adorf/Vogtland	Vogtlandkreis	Sachsen
25572	Aebtissinwisch	Kreis Steinburg	Schleswig-Holstein
31855	Aerzen	Landkreis Hameln-Pyrmont	Niedersachsen
71563	Affalterbach	Landkreis Ludwigsburg	Baden-Württemberg
86444	Affing	Landkreis Aichach-Friedberg	Bayern
27257	Affinghausen	Landkreis Diepholz	Niedersachsen
54689	Affler	Eifelkreis Bitburg-Prüm	Rheinland-Pfalz
21684	Agathenburg	Landkreis Stade	Niedersachsen
25560	Agethorst	Kreis Steinburg	Schleswig-Holstein
74858	Aglasterhausen	Neckar-Odenwald-Kreis	Baden-Württemberg
84168	Aham	Landkreis Landshut	Bayern
48683	Ahaus	Kreis Borken	Nordrhein-Westfalen
27367	Ahausen	Landkreis Rotenburg (Wümme)	Niedersachsen
17375	Ahlbeck	Landkreis Vorpommern-Greifswald	Mecklenburg-Vorpommern
29693	Ahlden	Landkreis Heidekreis	Niedersachsen
24358	Ahlefeld-Bistensee	Kreis Rendsburg-Eckernförde	Schleswig-Holstein
59227	Ahlen	Kreis Warendorf	Nordrhein-Westfalen
59229	Ahlen	Kreis Warendorf	Nordrhein-Westfalen
21702	Ahlerstedt	Landkreis Stade	Niedersachsen
06313	Ahlsdorf	Landkreis Mansfeld-Südharz	Sachsen-Anhalt
98553	Ahlstädt	Landkreis Hildburghausen	Thüringen
34292	Ahnatal	Landkreis Kassel	Hessen
24996	Ahneby	Kreis Schleswig-Flensburg	Schleswig-Holstein
29353	Ahnsbeck	Landkreis Celle	Niedersachsen
31708	Ahnsen	Landkreis Schaumburg	Niedersachsen
94345	Aholfing	Landkreis Straubing-Bogen	Bayern
94527	Aholming	Landkreis Deggendorf	Bayern
74744	Ahorn	Main-Tauber-Kreis	Baden-Württemberg
96482	Ahorn	Landkreis Coburg	Bayern
95491	Ahorntal	Landkreis Bayreuth	Bayern
53506	Ahrbrück	Landkreis Ahrweiler	Rheinland-Pfalz
23623	Ahrensbök	Kreis Ostholstein	Schleswig-Holstein
22926	Ahrensburg	Kreis Stormarn	Schleswig-Holstein
16356	Ahrensfelde	Landkreis Barnim	Brandenburg
18320	Ahrenshagen-Daskow	Landkreis Vorpommern-Rügen	Mecklenburg-Vorpommern
25853	Ahrenshöft	Kreis Nordfriesland	Schleswig-Holstein
18347	Ahrenshoop	Landkreis Vorpommern-Rügen	Mecklenburg-Vorpommern
25885	Ahrenviöl	Kreis Nordfriesland	Schleswig-Holstein
24896	Ahrenviölfeld	Kreis Nordfriesland	Schleswig-Holstein
25885	Ahrenviölfeld	Kreis Nordfriesland	Schleswig-Holstein
86551	Aichach	Landkreis Aichach-Friedberg	Bayern
94529	Aicha vorm Wald	Landkreis Passau	Bayern
73101	Aichelberg	Landkreis Göppingen	Baden-Württemberg
86479	Aichen	Landkreis Günzburg	Bayern
78733	Aichhalden	Landkreis Rottweil	Baden-Württemberg
88317	Aichstetten	Landkreis Ravensburg	Baden-Württemberg
72631	Aichtal	Landkreis Esslingen	Baden-Württemberg
73773	Aichwald	Landkreis Esslingen	Baden-Württemberg
94501	Aidenbach	Landkreis Passau	Bayern
97491	Aidhausen	Landkreis Haßberge	Bayern
71134	Aidlingen	Landkreis Böblingen	Baden-Württemberg
84089	Aiglsbach	Landkreis Kelheim	Bayern
56459	Ailertchen	Westerwaldkreis	Rheinland-Pfalz
